crop_name,soil_ph_min,soil_ph_max,nitrogen_requirement,phosphorus_requirement,potassium_requirement,moisture_requirement,humidity_requirement,temperature_min,temperature_max,soil_type,water_requirement,growing_season,expected_growth_days,yield_category,fertilizer_preference,terrain_type,rainfall_requirement,commercial_priority,region_support,irrigation_type,district_support,district_category,water_source_type,climate_zone,district_priority_score
Sorghum,5.5,7.5,MEDIUM,LOW,MEDIUM,LOW,LOW,25,40,Red Soil,LOW,Kharif,110,MEDIUM,Mixed,DRYLAND,LOW,72,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Virudhunagar,Thoothukudi,Pudukkottai",DRY_ZONE,RAINFED,DRY,78
Pearl Millet,6.0,7.5,MEDIUM,LOW,LOW,LOW,LOW,28,42,Sandy,LOW,Kharif,75,MEDIUM,Organic,DRYLAND,LOW,70,"NORTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Virudhunagar,Thoothukudi,Tirunelveli",DRY_ZONE,RAINFED,DRY,80
Finger Millet,5.0,7.0,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,15,30,Red Soil,MEDIUM,Kharif,105,MEDIUM,Organic,DRYLAND,MEDIUM,65,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Dharmapuri,Krishnagiri,Salem,Namakkal,Erode",SEMI_ARID,RAINFED,DRY,76
Banana,6.0,7.5,HIGH,MEDIUM,HIGH,HIGH,HIGH,15,35,Loamy,HIGH,All Season,300,HIGH,Mixed,RIVER_BELT,HIGH,86,"SOUTH_INDIA,TROPICAL",DRIP,"Tiruchirapalli,Theni,Erode,Thanjavur,Tiruvarur,Tenkasi,Dindigul",RIVER_BELT,RIVER,HUMID,88
Coconut,5.0,8.0,MEDIUM,LOW,HIGH,HIGH,HIGH,20,37,Sandy,HIGH,All Season,365,MEDIUM,Organic,COASTAL,HIGH,80,"SOUTH_INDIA,COASTAL,TROPICAL",DRIP,"Coimbatore,Tirupur,Erode,Tiruchirapalli,Thanjavur,Tiruvarur,Nagapattinam,Cuddalore",COASTAL,MIXED,HUMID,85
Chickpea,6.0,9.0,LOW,MEDIUM,MEDIUM,LOW,LOW,10,30,Sandy,LOW,Rabi,95,MEDIUM,Organic,PLAIN,LOW,75,"NORTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Virudhunagar,Pudukkottai,Thoothukudi",DRY_ZONE,RAINFED,DRY,65
Pigeon Pea,5.5,7.5,LOW,MEDIUM,LOW,LOW,LOW,20,35,Red Soil,LOW,Kharif,180,MEDIUM,Organic,DRYLAND,MEDIUM,73,"SOUTH_INDIA,NORTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Tirunelveli,Thoothukudi,Pudukkottai",DRY_ZONE,RAINFED,DRY,68
Lentil,6.0,8.0,LOW,MEDIUM,LOW,LOW,LOW,15,25,Loamy,LOW,Rabi,80,MEDIUM,Organic,PLAIN,LOW,71,"NORTH_INDIA,TEMPERATE",RAINFED,"Nilgiris,Dindigul",HILL,RAINFED,COOL,40
Soybean,6.0,7.0,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,20,30,Loamy,MEDIUM,Kharif,95,HIGH,Mixed,PLAIN,MEDIUM,82,"NORTH_INDIA,TROPICAL",RAINFED,"Dharmapuri,Krishnagiri,Erode,Salem",SEMI_ARID,BOREWELL,MODERATE,60
Mustard,5.5,7.0,HIGH,MEDIUM,LOW,LOW,LOW,10,25,Loamy,LOW,Rabi,110,MEDIUM,Chemical,PLAIN,LOW,79,"NORTH_INDIA,TEMPERATE",SPRINKLER,"Tiruvannamalai,Vellore,Ranipet,Villupuram",SEMI_ARID,BOREWELL,MODERATE,58
Sesame,5.5,8.0,LOW,MEDIUM,LOW,LOW,LOW,25,40,Sandy,LOW,Kharif,80,LOW,Organic,DRYLAND,LOW,58,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Thoothukudi,Tirunelveli,Virudhunagar",DRY_ZONE,RAINFED,DRY,62
Linseed,5.5,7.0,MEDIUM,MEDIUM,LOW,LOW,LOW,5,25,Loamy,LOW,Rabi,120,LOW,Mixed,PLAIN,LOW,50,"NORTH_INDIA,TEMPERATE",RAINFED,"Nilgiris,Dindigul,Dharmapuri",HILL,RAINFED,COOL,35
Castor,5.5,7.5,MEDIUM,LOW,LOW,LOW,LOW,20,40,Red Soil,LOW,Kharif,180,MEDIUM,Mixed,DRYLAND,LOW,60,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Virudhunagar,Thoothukudi",DRY_ZONE,RAINFED,DRY,60
Turmeric,5.5,7.0,HIGH,MEDIUM,HIGH,HIGH,HIGH,20,35,Loamy,HIGH,Kharif,270,MEDIUM,Organic,RIVER_BELT,HIGH,76,"SOUTH_INDIA,TROPICAL",DRIP,"Erode,Salem,Namakkal,Tiruchirapalli,Theni",WESTERN_ZONE,CANAL,HUMID,82
Ginger,5.5,6.5,HIGH,MEDIUM,HIGH,HIGH,HIGH,20,30,Loamy,HIGH,Kharif,210,MEDIUM,Organic,HILL,HIGH,74,"SOUTH_INDIA,HILL_REGION,TROPICAL",DRIP,"Nilgiris,Theni,Dindigul,Erode",HILL,RAINFED,COOL,75
Garlic,6.0,7.5,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,13,25,Sandy,LOW,Rabi,150,MEDIUM,Chemical,PLAIN,LOW,69,"NORTH_INDIA,SEMI_ARID",DRIP,"Tiruvannamalai,Vellore,Salem,Namakkal",SEMI_ARID,BOREWELL,HOT,65
Chilli,6.0,7.0,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,20,30,Loamy,MEDIUM,All Season,120,HIGH,Mixed,PLAIN,MEDIUM,80,"SOUTH_INDIA,NORTH_INDIA,TROPICAL",DRIP,"Ramanathapuram,Sivagangai,Virudhunagar,Thoothukudi,Tirunelveli,Salem",DRY_ZONE,BOREWELL,HOT,80
Brinjal,5.5,7.0,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,18,35,Loamy,MEDIUM,All Season,80,HIGH,Mixed,PLAIN,MEDIUM,72,"SOUTH_INDIA,NORTH_INDIA,TROPICAL",DRIP,"Coimbatore,Erode,Tiruchirapalli,Salem,Vellore,Villupuram",WESTERN_ZONE,BOREWELL,HOT,72
Cabbage,6.0,7.0,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,7,25,Loamy,HIGH,Rabi,90,HIGH,Chemical,PLAIN,MEDIUM,68,"NORTH_INDIA,HILL_REGION,TEMPERATE",SPRINKLER,"Nilgiris,Dindigul,Coimbatore,Krishnagiri",HILL,RAINFED,COOL,62
Cauliflower,6.0,7.0,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,7,25,Loamy,HIGH,Rabi,80,HIGH,Chemical,PLAIN,MEDIUM,67,"NORTH_INDIA,HILL_REGION,TEMPERATE",SPRINKLER,"Nilgiris,Dindigul,Coimbatore,Krishnagiri",HILL,RAINFED,COOL,60
Peas,6.0,7.5,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,7,25,Loamy,MEDIUM,Rabi,60,MEDIUM,Organic,PLAIN,MEDIUM,65,"NORTH_INDIA,TEMPERATE",SPRINKLER,"Nilgiris,Dindigul,Krishnagiri",HILL,RAINFED,COOL,55
Okra,6.0,7.0,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,25,42,Red Soil,MEDIUM,Kharif,60,HIGH,Mixed,PLAIN,MEDIUM,70,"SOUTH_INDIA,NORTH_INDIA,TROPICAL",DRIP,"Erode,Salem,Coimbatore,Tiruchirapalli,Villupuram,Cuddalore",SEMI_ARID,BOREWELL,HOT,70
Spinach,6.0,7.5,HIGH,MEDIUM,LOW,HIGH,MEDIUM,10,24,Loamy,HIGH,Rabi,40,MEDIUM,Organic,PLAIN,MEDIUM,55,"NORTH_INDIA,TEMPERATE",SPRINKLER,"Nilgiris,Coimbatore,Erode,Dharmapuri",HILL,BOREWELL,MODERATE,48
Carrot,6.0,7.0,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,7,25,Sandy,MEDIUM,Rabi,90,MEDIUM,Organic,PLAIN,MEDIUM,60,"NORTH_INDIA,HILL_REGION,TEMPERATE",SPRINKLER,"Nilgiris,Dindigul,Coimbatore,Krishnagiri",HILL,RAINFED,COOL,60
Radish,5.5,7.0,MEDIUM,MEDIUM,LOW,MEDIUM,LOW,10,25,Sandy,MEDIUM,Rabi,35,MEDIUM,Organic,PLAIN,MEDIUM,50,"NORTH_INDIA,SOUTH_INDIA",SPRINKLER,"Coimbatore,Erode,Salem,Vellore,Nilgiris",WESTERN_ZONE,BOREWELL,MODERATE,45
Beet Root,6.5,8.0,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,10,25,Loamy,MEDIUM,Rabi,70,MEDIUM,Mixed,PLAIN,MEDIUM,52,"NORTH_INDIA,TEMPERATE",DRIP,"Coimbatore,Erode,Salem,Nilgiris",WESTERN_ZONE,BOREWELL,MODERATE,48
Sweet Potato,5.5,7.0,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,20,35,Sandy,MEDIUM,Kharif,120,HIGH,Organic,PLAIN,MEDIUM,58,"SOUTH_INDIA,TROPICAL",RAINFED,"Tiruchirapalli,Tiruvarur,Thanjavur,Villupuram,Cuddalore",DELTA,CANAL,HUMID,55
Cassava,5.0,7.0,LOW,LOW,MEDIUM,MEDIUM,HIGH,18,35,Sandy,MEDIUM,All Season,270,HIGH,Organic,DRYLAND,MEDIUM,62,"SOUTH_INDIA,TROPICAL",RAINFED,"Tiruchirapalli,Dindigul,Salem,Erode,Namakkal",CENTRAL_ZONE,RAINFED,HOT,62
Mango,5.5,7.5,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,24,40,Red Soil,MEDIUM,All Season,365,HIGH,Organic,PLAIN,MEDIUM,88,"SOUTH_INDIA,NORTH_INDIA,TROPICAL",DRIP,"Krishnagiri,Dharmapuri,Salem,Erode,Vellore,Tirunelveli",SEMI_ARID,BOREWELL,HOT,88
Papaya,6.0,7.0,HIGH,HIGH,HIGH,HIGH,HIGH,22,35,Sandy,HIGH,All Season,270,HIGH,Mixed,PLAIN,MEDIUM,75,"SOUTH_INDIA,TROPICAL",DRIP,"Tiruchirapalli,Erode,Salem,Coimbatore,Tirunelveli",CENTRAL_ZONE,BOREWELL,HOT,72
Guava,5.0,7.5,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,23,40,Sandy,LOW,All Season,365,MEDIUM,Organic,PLAIN,LOW,65,"SOUTH_INDIA,NORTH_INDIA,TROPICAL",DRIP,"Salem,Erode,Dharmapuri,Tiruchirapalli,Tirunelveli",SEMI_ARID,BOREWELL,HOT,62
Pomegranate,5.5,7.5,MEDIUM,LOW,MEDIUM,LOW,LOW,18,38,Red Soil,LOW,All Season,365,MEDIUM,Organic,DRYLAND,LOW,70,"SOUTH_INDIA,SEMI_ARID",DRIP,"Tiruvannamalai,Vellore,Ramanathapuram,Sivagangai,Pudukkottai",DRY_ZONE,BOREWELL,DRY,68
Citrus (Orange),5.5,7.5,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,13,38,Sandy,MEDIUM,All Season,365,HIGH,Chemical,PLAIN,MEDIUM,76,"SOUTH_INDIA,NORTH_INDIA,TROPICAL",DRIP,"Tiruchirapalli,Salem,Erode,Namakkal,Dindigul",CENTRAL_ZONE,BOREWELL,HOT,72
Lemon,5.5,7.5,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,15,38,Sandy,MEDIUM,All Season,365,MEDIUM,Chemical,PLAIN,MEDIUM,72,"SOUTH_INDIA,NORTH_INDIA,TROPICAL",DRIP,"Tiruchirapalli,Salem,Erode,Virudhunagar,Tirunelveli",CENTRAL_ZONE,BOREWELL,HOT,68
Grapes,6.0,7.5,MEDIUM,HIGH,HIGH,LOW,LOW,15,40,Loamy,MEDIUM,All Season,365,HIGH,Chemical,PLAIN,LOW,82,"SOUTH_INDIA,SEMI_ARID",DRIP,"Tiruvannamalai,Vellore,Ranipet,Villupuram",SEMI_ARID,BOREWELL,HOT,70
Watermelon,6.0,7.0,MEDIUM,HIGH,HIGH,LOW,LOW,22,40,Sandy,MEDIUM,Summer,90,HIGH,Mixed,PLAIN,LOW,75,"SOUTH_INDIA,NORTH_INDIA,SEMI_ARID",DRIP,"Tiruvannamalai,Ramanathapuram,Sivagangai,Pudukkottai,Thoothukudi",DRY_ZONE,BOREWELL,DRY,72
Muskmelon,6.0,7.5,MEDIUM,HIGH,MEDIUM,LOW,LOW,25,40,Sandy,LOW,Summer,80,MEDIUM,Mixed,PLAIN,LOW,65,"NORTH_INDIA,SEMI_ARID",DRIP,"Ramanathapuram,Sivagangai,Tiruvannamalai,Thoothukudi",DRY_ZONE,BOREWELL,DRY,62
Cucumber,5.5,7.0,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,18,35,Sandy,MEDIUM,Summer,55,HIGH,Mixed,PLAIN,MEDIUM,63,"SOUTH_INDIA,NORTH_INDIA,TROPICAL",DRIP,"Coimbatore,Erode,Salem,Tiruchirapalli,Villupuram",WESTERN_ZONE,BOREWELL,MODERATE,60
Pumpkin,5.5,7.5,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,18,35,Loamy,MEDIUM,Kharif,90,HIGH,Organic,PLAIN,MEDIUM,60,"SOUTH_INDIA,NORTH_INDIA,TROPICAL",RAINFED,"Tiruchirapalli,Salem,Erode,Villupuram,Cuddalore",CENTRAL_ZONE,RAINFED,HOT,58
Bitter Gourd,6.0,7.0,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,25,38,Sandy,MEDIUM,Kharif,70,MEDIUM,Mixed,PLAIN,MEDIUM,58,"SOUTH_INDIA,TROPICAL",DRIP,"Coimbatore,Erode,Tiruchirapalli,Salem,Tirunelveli",WESTERN_ZONE,BOREWELL,HOT,56
Bottle Gourd,6.0,7.5,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,25,38,Loamy,HIGH,Summer,70,HIGH,Mixed,PLAIN,MEDIUM,60,"SOUTH_INDIA,NORTH_INDIA,TROPICAL",DRIP,"Tiruchirapalli,Salem,Erode,Villupuram,Cuddalore",CENTRAL_ZONE,BOREWELL,HOT,58
Ridge Gourd,6.0,7.5,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,22,38,Sandy,MEDIUM,Summer,65,MEDIUM,Organic,PLAIN,MEDIUM,52,"SOUTH_INDIA,TROPICAL",DRIP,"Coimbatore,Erode,Salem,Tiruchirapalli,Villupuram",WESTERN_ZONE,BOREWELL,HOT,50
Snake Gourd,6.0,7.0,MEDIUM,LOW,HIGH,HIGH,HIGH,25,40,Loamy,HIGH,Summer,75,MEDIUM,Organic,PLAIN,HIGH,50,"SOUTH_INDIA,TROPICAL",DRIP,"Tiruchirapalli,Thanjavur,Tiruvarur,Villupuram,Cuddalore",DELTA,CANAL,HUMID,48
Cowpea,5.5,7.5,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,20,35,Sandy,MEDIUM,Kharif,70,MEDIUM,Organic,DRYLAND,MEDIUM,62,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Virudhunagar,Thoothukudi,Tirunelveli",DRY_ZONE,RAINFED,DRY,60
Black Gram,5.5,7.0,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,25,35,Black Soil,MEDIUM,Kharif,75,MEDIUM,Organic,PLAIN,MEDIUM,68,"SOUTH_INDIA,NORTH_INDIA,TROPICAL",RAINFED,"Thanjavur,Tiruvarur,Nagapattinam,Cuddalore,Villupuram,Ramanathapuram",DELTA,CANAL,HUMID,70
Green Gram,6.0,7.5,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,25,38,Red Soil,MEDIUM,Kharif,65,MEDIUM,Organic,DRYLAND,MEDIUM,66,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Thoothukudi,Tirunelveli,Virudhunagar",DRY_ZONE,RAINFED,DRY,66
Horse Gram,5.5,7.5,LOW,LOW,LOW,LOW,LOW,20,35,Red Soil,LOW,Kharif,100,LOW,Organic,DRYLAND,LOW,48,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Virudhunagar,Pudukkottai,Tirunelveli",DRY_ZONE,RAINFED,DRY,55
Moth Bean,6.0,8.0,LOW,LOW,LOW,LOW,LOW,28,42,Sandy,LOW,Kharif,80,LOW,Organic,DRYLAND,LOW,45,"NORTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Thoothukudi,Sivagangai",DRY_ZONE,RAINFED,DRY,45
Rajma (Kidney Bean),6.0,7.5,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,10,25,Loamy,MEDIUM,Rabi,100,MEDIUM,Organic,HILL,MEDIUM,55,"NORTH_INDIA,HILL_REGION,TEMPERATE",SPRINKLER,"Nilgiris,Dindigul,Krishnagiri",HILL,RAINFED,COOL,45
Field Bean,5.5,7.5,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,15,30,Loamy,MEDIUM,Rabi,90,MEDIUM,Organic,PLAIN,MEDIUM,50,"SOUTH_INDIA,TEMPERATE",RAINFED,"Coimbatore,Erode,Salem,Tiruchirapalli",WESTERN_ZONE,BOREWELL,MODERATE,48
Peanut,5.5,7.0,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,20,35,Sandy,MEDIUM,Kharif,120,HIGH,Mixed,PLAIN,MEDIUM,85,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Villupuram,Cuddalore,Tiruvannamalai,Ramanathapuram,Sivagangai",DRY_ZONE,RAINFED,DRY,85
Flax,5.5,7.0,MEDIUM,MEDIUM,LOW,MEDIUM,LOW,15,25,Loamy,LOW,Rabi,120,LOW,Organic,PLAIN,MEDIUM,48,"NORTH_INDIA,TEMPERATE",RAINFED,"Nilgiris,Krishnagiri",HILL,RAINFED,COOL,30
Paddy (Basmati),6.0,7.0,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,20,30,Clay,HIGH,Kharif,135,HIGH,Mixed,PLAIN,HIGH,90,NORTH_INDIA,FLOOD,"Thanjavur,Tiruvarur,Nagapattinam,Tiruchirapalli",DELTA,CANAL,HUMID,90
Paddy (Short Grain),5.0,6.5,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,22,35,Clay,HIGH,Kharif,110,HIGH,Chemical,RIVER_BELT,HIGH,85,"SOUTH_INDIA,TROPICAL",FLOOD,"Thanjavur,Tiruvarur,Nagapattinam,Ariyalur,Cuddalore",DELTA,CANAL,HUMID,88
Wheat (Durum),6.0,7.5,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,10,25,Loamy,MEDIUM,Rabi,130,HIGH,Chemical,PLAIN,MEDIUM,88,"NORTH_INDIA,TEMPERATE",SPRINKLER,Nilgiris,HILL,RAINFED,COOL,38
Barley,6.0,8.0,MEDIUM,MEDIUM,LOW,LOW,LOW,5,25,Sandy,LOW,Rabi,100,MEDIUM,Mixed,PLAIN,LOW,65,"NORTH_INDIA,TEMPERATE",RAINFED,"Nilgiris,Dindigul",HILL,RAINFED,COOL,35
Oats,5.5,7.5,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,10,23,Loamy,MEDIUM,Rabi,90,MEDIUM,Mixed,PLAIN,MEDIUM,55,"NORTH_INDIA,TEMPERATE",SPRINKLER,Nilgiris,HILL,RAINFED,COOL,32
Rye,5.0,7.0,MEDIUM,LOW,LOW,LOW,LOW,5,25,Sandy,LOW,Rabi,120,LOW,Organic,PLAIN,LOW,42,"NORTH_INDIA,TEMPERATE",RAINFED,Nilgiris,HILL,RAINFED,COOL,28
Buckwheat,5.0,7.5,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,10,25,Sandy,LOW,Rabi,75,LOW,Organic,HILL,MEDIUM,40,"NORTH_INDIA,HILL_REGION,TEMPERATE",RAINFED,"Nilgiris,Dindigul",HILL,RAINFED,COOL,28
Quinoa,6.0,8.5,LOW,MEDIUM,MEDIUM,LOW,LOW,5,30,Sandy,LOW,Rabi,100,MEDIUM,Organic,PLAIN,LOW,48,"NORTH_INDIA,SEMI_ARID",DRIP,"Nilgiris,Coimbatore",HILL,BOREWELL,MODERATE,30
Amaranth,6.0,7.5,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,15,40,Red Soil,LOW,Kharif,90,MEDIUM,Organic,PLAIN,LOW,45,"NORTH_INDIA,SOUTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Thoothukudi,Tirunelveli",DRY_ZONE,RAINFED,DRY,42
Teff,6.0,8.0,LOW,LOW,LOW,LOW,LOW,15,35,Red Soil,LOW,Kharif,75,LOW,Organic,DRYLAND,LOW,38,SEMI_ARID,RAINFED,"Ramanathapuram,Tirunelveli",DRY_ZONE,RAINFED,DRY,28
Bambara Groundnut,5.5,7.5,LOW,MEDIUM,LOW,LOW,LOW,20,35,Sandy,LOW,Kharif,120,LOW,Organic,DRYLAND,LOW,35,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Thoothukudi",DRY_ZONE,RAINFED,DRY,30
Safflower,6.0,8.0,LOW,MEDIUM,LOW,LOW,LOW,15,35,Black Soil,LOW,Rabi,120,LOW,Mixed,DRYLAND,LOW,52,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Pudukkottai,Tirunelveli",DRY_ZONE,RAINFED,DRY,48
Rapeseed,5.5,7.5,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,5,25,Loamy,MEDIUM,Rabi,110,MEDIUM,Chemical,PLAIN,MEDIUM,62,"NORTH_INDIA,TEMPERATE",SPRINKLER,"Tiruvannamalai,Vellore,Dharmapuri",SEMI_ARID,BOREWELL,MODERATE,45
Canola,5.5,7.5,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,5,25,Loamy,MEDIUM,Rabi,105,MEDIUM,Chemical,PLAIN,MEDIUM,60,"NORTH_INDIA,TEMPERATE",SPRINKLER,"Tiruvannamalai,Vellore,Krishnagiri",SEMI_ARID,BOREWELL,MODERATE,42
Hemp,6.0,7.5,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,15,27,Loamy,MEDIUM,Kharif,100,HIGH,Organic,PLAIN,MEDIUM,55,"NORTH_INDIA,HILL_REGION",RAINFED,"Nilgiris,Dindigul",HILL,RAINFED,COOL,38
Jute,6.0,7.5,HIGH,MEDIUM,LOW,HIGH,HIGH,24,37,Loamy,HIGH,Kharif,120,MEDIUM,Mixed,RIVER_BELT,HIGH,70,"NORTH_INDIA,TROPICAL",FLOOD,"Tiruvarur,Nagapattinam,Thanjavur,Cuddalore",DELTA,CANAL,HUMID,60
Flax (Fibre),6.0,7.5,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,5,25,Clay,MEDIUM,Rabi,100,MEDIUM,Organic,PLAIN,MEDIUM,45,"NORTH_INDIA,TEMPERATE",RAINFED,Nilgiris,HILL,RAINFED,COOL,30
Kenaf,6.0,7.5,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,22,38,Loamy,HIGH,Kharif,150,MEDIUM,Mixed,PLAIN,HIGH,42,TROPICAL,RAINFED,"Tiruvarur,Nagapattinam,Thanjavur",DELTA,CANAL,HUMID,35
Rubber,5.0,6.0,MEDIUM,LOW,LOW,HIGH,HIGH,25,35,Red Soil,HIGH,All Season,365,HIGH,Organic,HILL,HIGH,78,"SOUTH_INDIA,TROPICAL",RAINFED,"Tirunelveli,Tenkasi,Kanyakumari,Theni",COASTAL,RAINFED,HUMID,75
