crop_name,district_support,district_category,climate_zone,crop_duration_days,growth_stage,stage_start_day,stage_end_day,activity,guidance,water_requirement,fertilizer_requirement,monitoring_requirement,expected_outcome,risk_factor,government_recommendation
Paddy,"Thanjavur,Tiruvarur,Nagapattinam,Ariyalur,Pudukottai",DELTA,HUMID,120,Pest Monitoring,30,90,Stem Borer and Leaf Folder Monitoring,"Inspect paddy fields every 5-7 days for stem borer infestation. Count dead hearts in vegetative stage and white ears in reproductive stage. Install pheromone traps at 5 per acre. If dead heart incidence exceeds 5%, apply Chlorpyrifos 2.5% dust at 25 kg per hectare.",MEDIUM,Balanced NPK,Every 3 Days,Early Pest Detection,Stem Borer Attack; Leaf Folder,Use Integrated Pest Management (IPM) approach. Release Trichogramma japonicum at 5 lakh per hectare at weekly intervals from 30 days after transplanting.
Paddy,"Thanjavur,Tiruvarur,Nagapattinam,Ariyalur,Pudukottai",DELTA,HUMID,120,Disease Monitoring,40,90,Blast and Sheath Blight Monitoring,"Scout for paddy blast symptoms on leaves: diamond-shaped grey lesions with brown border. For sheath blight: oval/irregular lesions on lower sheaths. If blast incidence is observed, spray Tricyclazole 75 WP at 0.6 g per litre. For sheath blight spray Validamycin at 2 ml per litre.",MEDIUM,Balanced NPK,Every 3 Days,Disease-Free Crop,Leaf Blast; Sheath Blight,Avoid excess nitrogen application as it increases blast susceptibility. Grow blast-resistant varieties like ADT 45 and CO 51.
Paddy,"Thanjavur,Tiruvarur,Nagapattinam,Ariyalur,Pudukottai",DELTA,HUMID,120,Flowering,56,75,Panicle Initiation Management,"At panicle initiation (45-50 days after transplanting), apply third nitrogen dose at 25 kg urea per hectare. Maintain 5 cm water level during booting and heading stage. Avoid any nitrogen application after panicle initiation as it causes lodging.",HIGH,Nitrogen Rich,Weekly,Higher Grain Formation,Spikelet Sterility,Apply micronutrient mixture foliar spray at booting stage to improve grain filling and reduce unfilled grains.
Paddy,"Thanjavur,Tiruvarur,Nagapattinam,Ariyalur,Pudukottai",DELTA,HUMID,120,Flowering,56,75,Pollination Monitoring,"Monitor flowering (anthesis) during early morning hours (8-10 AM). Ensure no water stress during pollination. If dry spells occur, immediately irrigate the field. Observe panicle emergence and note any sterility. Scout for brown plant hopper during this stage.",HIGH,Potassium Rich,Weekly,Improved Grain Set,Spikelet Sterility; Brown Plant Hopper,Release egg parasitoid Trichogramma chilonis to manage lepidopteran pests during flowering stage.
Paddy,"Thanjavur,Tiruvarur,Nagapattinam,Ariyalur,Pudukottai",DELTA,HUMID,120,Harvest Preparation,100,115,Pre-Harvest Field Drainage,"Drain the paddy field completely at 15-20 days before harvest to allow field to dry and facilitate combine harvester movement. Observe grain colour change from green to golden yellow as maturity indicator. Ensure 80% of grains are golden yellow before harvest.",LOW,Potassium Rich,Weekly,Uniform Grain Maturity,Pre-Harvest Sprouting,Drain field 2 weeks before harvest to harden soil and reduce post-harvest moisture content in grains.
Paddy,"Thanjavur,Tiruvarur,Nagapattinam,Ariyalur,Pudukottai",DELTA,HUMID,120,Harvest,116,120,Crop Harvesting,"Harvest paddy when 80-85% of grains turn golden yellow. Use combine harvester or sickle for harvesting. Harvest during morning hours to reduce shattering loss. Maintain moisture content between 20-22% at harvest for safe storage after drying.",LOW,Balanced NPK,Daily,Increased Yield; Minimum Harvest Loss,Harvest Losses; Rodent Damage,Avail custom hiring of combine harvester from TNAU Farm Machinery Training Centre or cooperative societies to reduce harvest loss below 3%.
Paddy,"Thanjavur,Tiruvarur,Nagapattinam,Ariyalur,Pudukottai",DELTA,HUMID,120,Post Harvest,121,130,Threshing and Drying,"Thresh harvested paddy within 24 hours to prevent grain deterioration. Dry grains on clean cemented floor or tarpaulin to reduce moisture content to 14% for safe storage. Avoid drying on bare ground to prevent contamination and aflatoxin development.",LOW,Balanced NPK,Weekly,Improved Storage Quality,Post-Harvest Losses; Aflatoxin,Use mechanical dryer or solar dryer available through Tamil Nadu Agriculture Department subsidy scheme for efficient grain drying.
Groundnut,"Erode,Coimbatore,Salem,Namakkal,Virudhunagar",DRY_ZONE,HOT,110,Land Preparation,1,7,Deep Ploughing for Groundnut,"Plough the field to a depth of 25-30 cm to break compacted subsoil layers. This allows peg penetration and pod development. Apply gypsum at 400 kg per hectare as basal to prevent calcium deficiency in pods. Level and prepare fine tilth.",LOW,Organic Compost,Weekly,Improved Pod Formation,Soil Compaction,Apply gypsum mandatorily at pegging stage in Erode and Coimbatore districts where calcium-deficient red soils are common.
Groundnut,"Erode,Coimbatore,Salem,Namakkal,Virudhunagar",DRY_ZONE,HOT,110,Seed Selection,5,7,Seed Selection and Treatment,"Select bold-seeded varieties such as TMV 2, VRI 2, or GPBD 4 for rainfed areas. Shell the pods just before sowing to maintain seed viability. Treat seeds with Thiram at 3 g per kg seed. Inoculate with Rhizobium culture at 25 g per kg seed.",LOW,Balanced NPK,Weekly,Healthy Germination; Nitrogen Fixation,Seed-Borne Disease,Use Rhizobium inoculation mandatorily for groundnut to enhance biological nitrogen fixation and reduce fertilizer cost.
Groundnut,"Erode,Coimbatore,Salem,Namakkal,Virudhunagar",DRY_ZONE,HOT,110,Sowing,7,10,Sowing Operation,"Sow groundnut seeds at a spacing of 30 cm between rows and 10 cm between plants for bunch types. Sowing depth should be 5 cm. Sow at onset of monsoon or after soil moisture is adequate. Avoid sowing in waterlogged conditions.",LOW,Phosphorus Rich,Weekly,Uniform Plant Stand,Poor Germination; Waterlogging,Sow groundnut at recommended seed rate of 100 kg per hectare for bunch varieties and 80 kg per hectare for spreading types.
Groundnut,"Erode,Coimbatore,Salem,Namakkal,Virudhunagar",DRY_ZONE,HOT,110,Vegetative Growth,15,45,Early Growth Management,"Apply first dose of fertilizer at sowing: 25 kg nitrogen, 50 kg phosphorus, and 75 kg potassium per hectare. Carry out first weeding at 15-20 days after sowing using hand hoe. Maintain plant population by gap filling within 10 days of emergence.",MEDIUM,Balanced NPK,Weekly,Healthy Root Development,Weed Competition; Nutrient Deficiency,Apply phosphorus as single superphosphate to meet both phosphorus and sulphur requirement of groundnut crop.
Groundnut,"Erode,Coimbatore,Salem,Namakkal,Virudhunagar",DRY_ZONE,HOT,110,Irrigation Management,15,90,Irrigation Scheduling,"Apply irrigation at critical stages: germination, flowering, pegging, and pod development. Maintain 60-65% field capacity. Avoid waterlogging. In Salem district red loamy soils, irrigate at 5-7 day intervals. Total water requirement is 400-550 mm per season.",MEDIUM,Balanced NPK,Weekly,Improved Pod Filling,Water Stress; Root Rot,Use drip irrigation with 60% water saving. Tamil Nadu Agriculture Department provides 50% subsidy on drip irrigation systems.
Groundnut,"Erode,Coimbatore,Salem,Namakkal,Virudhunagar",DRY_ZONE,HOT,110,Nutrient Management,30,50,Gypsum Application at Pegging,"Apply gypsum at 400 kg per hectare as band placement near plant rows at pegging stage (30-35 days after sowing). This provides calcium and sulphur directly to developing pods and prevents empty pod syndrome common in Erode district soils.",LOW,Potassium Rich,Weekly,Reduced Empty Pods; Better Kernel Quality,Calcium Deficiency; Empty Pod Syndrome,Mandatory gypsum application at pegging stage in calcium-deficient soils of Erode and Coimbatore districts as per TNAU recommendation.
Groundnut,"Erode,Coimbatore,Salem,Namakkal,Virudhunagar",DRY_ZONE,HOT,110,Flowering,35,55,Flowering Stage Care,"Monitor flower initiation at 25-30 days after sowing. Apply foliar spray of boron at 0.1% during flowering to improve pod set. Scout for thrips and leaf miner during this stage. Maintain optimum soil moisture for peg penetration.",MEDIUM,Potassium Rich,Every 3 Days,Improved Pollination and Peg Formation,Thrips; Flower Drop,Spray boron 0.1% solution during early flowering stage to prevent flower drop and improve pod set.
Groundnut,"Erode,Coimbatore,Salem,Namakkal,Virudhunagar",DRY_ZONE,HOT,110,Pest Monitoring,25,90,Leaf Miner and Thrips Monitoring,"Inspect leaves weekly for leaf miner damage (wavy transparent mines on upper leaf surface). Yellow sticky traps at 10 per acre for thrips monitoring. If leaf miner incidence exceeds 5 mines per leaf, spray Spinosad 45 SC at 0.3 ml per litre water.",MEDIUM,Balanced NPK,Weekly,Healthy Foliage,Leaf Miner; Thrips,Release Chrysoperla carnea at 50000 eggs per hectare as biological control agent for groundnut leaf miner.
Groundnut,"Erode,Coimbatore,Salem,Namakkal,Virudhunagar",DRY_ZONE,HOT,110,Disease Monitoring,30,90,Early and Late Leaf Spot Monitoring,"Scout for circular brown spots (early leaf spot) on upper leaf surface from 30th day. For late leaf spot: dark brown spots on lower surface. If 30% leaf area is affected spray Mancozeb 75 WP at 2 g per litre. Repeat at 10-day intervals.",MEDIUM,Balanced NPK,Weekly,Healthy Leaf Area,Early Leaf Spot; Late Leaf Spot,Apply protective fungicide spray schedule starting from 30 days after sowing for leaf spot management in Erode and Salem districts.
Groundnut,"Erode,Coimbatore,Salem,Namakkal,Virudhunagar",DRY_ZONE,HOT,110,Harvest Preparation,95,105,Pre-Harvest Indicators,"Check pod maturity by observing brown discolouration of inner pod wall. Pull out 5-10 plants and check pod development. 75-80% pods should be mature (inner wall dark brown). Stop irrigation 7-10 days before harvest to facilitate easy harvesting.",LOW,Potassium Rich,Weekly,Optimum Pod Maturity,Aflatoxin Development,Harvest groundnut at correct maturity to prevent aflatoxin contamination which is a major quality concern in Tamil Nadu export groundnut.
Groundnut,"Erode,Coimbatore,Salem,Namakkal,Virudhunagar",DRY_ZONE,HOT,110,Harvest,106,110,Groundnut Harvesting,"Harvest when 75-80% pods are mature. Use hand hoe or groundnut digger to uproot plants. In mechanized harvesting, use tractor-mounted digger. Dry the plants in windrows for 2-3 days before stripping pods. Avoid prolonged field drying to prevent aflatoxin.",LOW,Balanced NPK,Daily,Maximum Pod Recovery,Harvest Losses; Aflatoxin,Use TNAU-designed groundnut harvesting implements available at TNAU farm machinery outlets to reduce harvest losses below 5%.
Groundnut,"Erode,Coimbatore,Salem,Namakkal,Virudhunagar",DRY_ZONE,HOT,110,Post Harvest,111,120,Drying and Storage,"Dry groundnut pods to safe moisture content of 8-9% for storage. Store in gunny bags on raised platforms in well-ventilated godowns. Treat stored pods with Aluminum phosphide at 3 tablets per tonne to prevent storage pests. Avoid mixing with old stock.",LOW,Balanced NPK,Weekly,Safe Storage; Aflatoxin Prevention,Storage Pest; Aflatoxin,Use Tamil Nadu State Warehousing Corporation facilities for bulk storage to maintain quality and access government procurement schemes.
Sugarcane,"Erode,Coimbatore,Salem,Vellore,Tiruvannamalai",WESTERN_ZONE,HOT,365,Land Preparation,1,15,Deep Ploughing for Sugarcane,"Plough the field to a depth of 30-35 cm using disc plough. Subsoil ploughing at 45-60 cm every 3 years improves drainage. Apply FYM at 50 tonnes per hectare and incorporate well into soil. Prepare flat beds or furrows 90 cm apart for planting.",HIGH,Organic Compost,Weekly,Improved Soil Structure,Soil Compaction,In Erode and Coimbatore districts use deep ploughing followed by subsoil ploughing as per Tamil Nadu Agriculture Department recommendation for higher ratoon yields.
Sugarcane,"Erode,Coimbatore,Salem,Vellore,Tiruvannamalai",WESTERN_ZONE,HOT,365,Seed Selection,10,15,Sett Selection and Treatment,"Select disease-free two-budded setts from 8-10 month old healthy crop. Treat setts with Aresin (Monolinuron) at 0.1% solution for 15 minutes or with hot water treatment at 52°C for 30 minutes. Use varieties CO 86032 or CO 0212 for high sucrose content.",LOW,Balanced NPK,Weekly,Uniform Germination,Ratoon Stunting Disease,Use heat-treated setts to eliminate ratoon stunting disease which causes significant yield loss in Tamil Nadu sugarcane belt.
Sugarcane,"Erode,Coimbatore,Salem,Vellore,Tiruvannamalai",WESTERN_ZONE,HOT,365,Sowing,15,20,Sett Planting,"Plant setts end to end in furrows at a depth of 8-10 cm. Maintain row spacing of 90 cm for plant crop and 75 cm for ratoon. Apply 25 kg nitrogen, 62.5 kg phosphorus, and 62.5 kg potassium per hectare as basal. Cover setts with 5 cm soil and irrigate immediately.",HIGH,Phosphorus Rich,Weekly,Healthy Germination,Poor Sett Germination,Apply basal dose of fertilizer in the furrow before placing setts. Plant crop in January-February for highest yield potential in Erode district.
Sugarcane,"Erode,Coimbatore,Salem,Vellore,Tiruvannamalai",WESTERN_ZONE,HOT,365,Vegetative Growth,30,120,Tillering and Grand Growth Management,"From 60-120 days, sugarcane enters rapid growth phase. Apply 100 kg nitrogen per hectare at 60 days and 100 kg at 90 days. Earth up rows at 60 days to support stalk. Irrigation at 7-10 day intervals. Apply Sett Germination Promoter for poor germination areas.",HIGH,Nitrogen Rich,Weekly,Better Tillering; Improved Cane Number,Nitrogen Deficiency; Waterlogging,Apply nitrogen in three equal splits: at planting, at 60 days, and at 90 days to ensure steady nutrient supply during vegetative growth.
Sugarcane,"Erode,Coimbatore,Salem,Vellore,Tiruvannamalai",WESTERN_ZONE,HOT,365,Irrigation Management,20,300,Irrigation Scheduling,"Irrigate sugarcane at 7-day intervals in summer and 10-14 day intervals in winter. Critical periods: germination, tillering, grand growth, and maturity. Avoid waterlogging as it causes root rot. Drip irrigation saves 40% water and improves yield by 20-25% in Erode red soil areas.",HIGH,Balanced NPK,Weekly,Improved Cane Yield,Waterlogging; Drought Stress,Adopt drip irrigation with 50% subsidy available under Tamil Nadu Micro Irrigation Scheme. Drip-fertigation increases sucrose percentage significantly.
Sugarcane,"Erode,Coimbatore,Salem,Vellore,Tiruvannamalai",WESTERN_ZONE,HOT,365,Nutrient Management,60,180,Fertilizer Top Dressing,"Apply potassium chloride at 62.5 kg per hectare at 60 days. In Coimbatore soils apply sulphur at 25 kg per hectare. Spray liquid urea at 2% solution at 60 and 90 days for quick nitrogen supply during grand growth. Monitor for iron and manganese deficiency in alkaline soils.",HIGH,Nitrogen Rich,Weekly,Increased Cane Elongation,Nutrient Imbalance; Micronutrient Deficiency,Adopt fertigation through drip system to supply nutrients precisely during critical growth stages for maximum yield potential.
Sugarcane,"Erode,Coimbatore,Salem,Vellore,Tiruvannamalai",WESTERN_ZONE,HOT,365,Pest Monitoring,30,240,Early Shoot Borer and Internode Borer Monitoring,"Inspect sugarcane weekly for dead heart caused by early shoot borer. Count attacked shoots per plot. If incidence exceeds 5%, apply Chlorpyrifos granules at 10 kg per hectare in soil. For internode borer release Cotesia flavipes parasitoid at 5000 per hectare.",MEDIUM,Balanced NPK,Weekly,Healthy Cane Stand,Stem Borer; Internode Borer,Adopt biological control using Trichogramma chilonis egg cards at 5 cards per hectare per week from 60 days after planting.
Sugarcane,"Erode,Coimbatore,Salem,Vellore,Tiruvannamalai",WESTERN_ZONE,HOT,365,Disease Monitoring,60,300,Red Rot and Smut Disease Monitoring,"Scout for red rot (internal reddening of stalks with fermented smell) and smut whips (black soot-like spores at growing point). Rogue out affected plants immediately. Maintain field sanitation. Treat setts with Carbendazim 0.05% for red rot prevention.",MEDIUM,Balanced NPK,Weekly,Disease-Free Cane Stand,Red Rot; Smut Disease,Use resistant varieties such as CO 7201 and Co 86032 in disease-endemic areas of Erode and Salem districts.
Sugarcane,"Erode,Coimbatore,Salem,Vellore,Tiruvannamalai",WESTERN_ZONE,HOT,365,Harvest Preparation,330,355,Pre-Harvest Management,"Stop irrigation 30-45 days before harvest to improve sucrose percentage. Apply Ethephon (2-CEPA) at 50 ppm as chemical ripener 45 days before harvest to increase sugar recovery. Survey cane for mill supply and arrange for timely transport.",LOW,Potassium Rich,Weekly,Improved Sugar Recovery,Low Sucrose Percentage,Apply chemical ripener as per Tamil Nadu Agriculture Department advisory to improve Commercial Cane Sugar (CCS) percentage above 10.
Sugarcane,"Erode,Coimbatore,Salem,Vellore,Tiruvannamalai",WESTERN_ZONE,HOT,365,Harvest,356,365,Cane Harvesting,"Harvest cane at optimum maturity. Use manual cutting at ground level to leave healthy stubble for ratoon. Remove dried leaves (trash) without burning. Bundle cane and transport to factory within 24 hours to prevent sucrose deterioration. Avoid harvesting wet cane.",LOW,Balanced NPK,Daily,Maximum Sugar Recovery,Post-Harvest Sucrose Loss,Submit cane to nearest cooperative sugar factory within the harvest schedule allotted by Tamil Nadu Sugar Corporation to ensure fair price and timely payment.
Banana,"Erode,Coimbatore,Thanjavur,Tiruvarur,Krishnagiri",WESTERN_ZONE,HOT,300,Land Preparation,1,10,Pit Preparation,"Dig pits of 60 cm x 60 cm x 60 cm at spacing of 1.8 m x 1.8 m for Grand Naine variety. In Erode district, 3 m x 3 m spacing for robust growth. Fill pits with topsoil mixed with FYM at 10 kg per pit and Neem cake at 200 g per pit. Apply Biofertilizers.",MEDIUM,Organic Compost,Weekly,Good Soil Base for Root Development,Root Rot; Poor Establishment,Follow TNAU recommendation of 1.5 m x 1.5 m spacing for Robusta and 1.8 m x 1.8 m for Grand Naine under tissue culture planting.
Banana,"Erode,Coimbatore,Thanjavur,Tiruvarur,Krishnagiri",WESTERN_ZONE,HOT,300,Seed Selection,7,10,Suckers or Tissue Culture Plant Selection,"Select sword suckers of 1.5-2 kg weight from disease-free mother plants for conventional planting. For tissue culture banana, procure certified plants from government-approved laboratories. Preferred varieties: Grand Naine for export, Robusta for local market, Poovan for Tamil Nadu market.",LOW,Balanced NPK,Weekly,Healthy Plant Establishment,Panama Wilt; Banana Bunchy Top,Use tissue culture banana plants certified by Department of Horticulture to ensure disease-free planting material and uniform growth.
Banana,"Erode,Coimbatore,Thanjavur,Tiruvarur,Krishnagiri",WESTERN_ZONE,HOT,300,Transplanting,10,15,Sucker Planting,"Trim the roots of suckers and remove dry leaves. Plant at the centre of the pit. Cover with soil up to the collar region. Do not plant deep. Irrigate immediately after planting. In Coimbatore district, apply cow dung slurry around base to promote root growth.",HIGH,Organic Compost,Daily,Successful Establishment,Transplanting Shock,Treat sucker base with Carbendazim 0.1% solution before planting to prevent early fungal infection at planting hole.
Banana,"Erode,Coimbatore,Thanjavur,Tiruvarur,Krishnagiri",WESTERN_ZONE,HOT,300,Vegetative Growth,15,120,Early Growth Fertilization,"Apply first dose of fertilizer at 30 days: 100 g urea, 100 g superphosphate, and 200 g muriate of potash per plant. Mulch the basin with paddy straw or dry leaves to conserve moisture. Remove pest-damaged leaves immediately. Stake young plants if needed.",HIGH,Nitrogen Rich,Weekly,Healthy Leaf Canopy Development,Leaf Spot; Weevil Attack,Apply split doses of fertilizers at monthly intervals. Total fertilizer requirement: 200 g N, 60 g P, and 300 g K per plant per crop cycle.
Banana,"Erode,Coimbatore,Thanjavur,Tiruvarur,Krishnagiri",WESTERN_ZONE,HOT,300,Irrigation Management,15,270,Drip Irrigation Management,"Banana requires 1200-1500 mm water per crop. Apply water through drip at 12-15 litre per plant per day during summer. Reduce to 8-10 litre during monsoon. Critical stages: shoot establishment, shooting, and bunch filling. Avoid standing water as it causes Fusarium wilt.",HIGH,Balanced NPK,Weekly,Healthy Root System; Improved Bunch Weight,Water Stress; Root Rot,Install drip irrigation with fertigation system. Government of Tamil Nadu provides 90% subsidy for drip irrigation in horticulture crops.
Banana,"Erode,Coimbatore,Thanjavur,Tiruvarur,Krishnagiri",WESTERN_ZONE,HOT,300,Pest Monitoring,30,270,Banana Weevil and Nematode Monitoring,"Inspect banana plants for weevil attack: oozing of dark fluid from pseudo stem base. Insert fresh cross-cut sucker pieces as trap and collect weevils. For nematode management, apply Carbofuran granules at 25 g per plant at planting and at 4 months.",MEDIUM,Balanced NPK,Weekly,Pest-Free Plant,Banana Weevil; Nematode,Apply TNAU-recommended biocontrol agent Beauveria bassiana at 5 g per plant for banana weevil management in Erode banana belt.
Banana,"Erode,Coimbatore,Thanjavur,Tiruvarur,Krishnagiri",WESTERN_ZONE,HOT,300,Disease Monitoring,45,200,Panama Wilt and Sigatoka Monitoring,"Scout for Panama wilt: yellowing and wilting of older leaves progressing inwards. Rogue out affected plants. Apply Pseudomonas fluorescens at 20 g per plant as soil drench. For Sigatoka leaf spot (yellow streaks on leaves) spray Propiconazole 0.1% at 30-day intervals.",MEDIUM,Balanced NPK,Weekly,Disease-Free Plantation,Panama Wilt; Sigatoka Leaf Spot,Avoid replanting banana in Panama wilt-affected fields for at least 3 years. Grow resistant variety Nendran in affected areas.
Banana,"Erode,Coimbatore,Thanjavur,Tiruvarur,Krishnagiri",WESTERN_ZONE,HOT,300,Flowering,210,240,Bunch Emergence Management,"After shooting, remove the male bud (bell) 15 cm below the last bunch hand. Cover the bunch with blue perforated polythene sleeve to protect from thrips and improve finger development. Remove dried leaves (dedica) around bunch. Apply potash at 100 g per plant after shooting.",HIGH,Potassium Rich,Weekly,Improved Bunch Size and Fruit Quality,Thrips; Fruit Splitting,Bundle bunches with polythene sleeve immediately after emergence to protect from pests and improve size and colour as per export quality standards.
Banana,"Erode,Coimbatore,Thanjavur,Tiruvarur,Krishnagiri",WESTERN_ZONE,HOT,300,Harvest Preparation,270,285,Maturity Assessment,"Check banana maturity by finger angularity. Harvest when fingers change from angular to round shape. Cut one finger from last hand and check for creamy white colour inside. Days to harvest from shooting: Grand Naine 90-100 days, Robusta 100-110 days, Poovan 120-135 days.",LOW,Potassium Rich,Weekly,Optimum Fruit Maturity,Pre-Harvest Drop; Under-Maturity,Grade bunches as A, B, C class before selling. Avoid harvesting immature bunches as they affect market reputation and price.
Banana,"Erode,Coimbatore,Thanjavur,Tiruvarur,Krishnagiri",WESTERN_ZONE,HOT,300,Harvest,285,295,Bunch Harvesting,"Cut bunch with sharp curved knife leaving 30 cm of stalk. Handle with care to avoid bruising. Wash with clean water to remove latex. Grade by weight: Grade A above 18 kg, Grade B 12-18 kg, Grade C below 12 kg. Pack in ventilated crates for transport.",LOW,Balanced NPK,Daily,Maximum Market Value,Bruising; Post-Harvest Damage,Contact nearby banana marketing cooperative or HOPCOMS for better price. Government cold storage facilities available in Erode district for value addition.
Banana,"Erode,Coimbatore,Thanjavur,Tiruvarur,Krishnagiri",WESTERN_ZONE,HOT,300,Post Harvest,296,300,Sucker Management for Ratoon,"After main crop harvest, select one healthy sword sucker for ratoon crop. Remove all other suckers. Apply FYM at 10 kg and neem cake at 200 g to the pit. Ratoon crop requires 70-80% of main crop inputs and gives harvest in 9-10 months.",LOW,Organic Compost,Weekly,Healthy Ratoon Establishment,Ratoon Decline,Maintain maximum 2 ratoon crops to avoid disease buildup. Replant with fresh tissue culture plants after 2 ratoons.
Cotton,"Coimbatore,Erode,Vellore,Tirunelveli,Madurai",WESTERN_ZONE,HOT,180,Land Preparation,1,10,Summer Ploughing for Cotton,"Deep summer ploughing to 30-35 cm to expose soil-borne pupae and insects to sunlight. Apply FYM at 12.5 tonnes per hectare. Level the field and form ridges at 60 cm spacing. In Coimbatore black cotton soil areas, avoid deep ploughing when soil is wet.",LOW,Organic Compost,Weekly,Improved Soil Physical Condition,Soil-Borne Disease; Poor Tilth,Conduct summer deep ploughing at least 4-6 weeks before sowing to disrupt soil-borne pest life cycles and improve aeration.
